id, mail, name, password, roles
1,"user+test1@example.com","content_manager","content_manager","content manager, authenticated user"
2,"user+test2@example.com","content_editor","content_editor","content editor, authenticated user"
3,"user+test3@example.com","webmaster","webmaster","webmaster, authenticated user"
4,"user+test4@example.com","klark_kent","klark_kent","administrator"
5,"user+test5@example.com","test","test","authenticated user"
6,"user+test6@example.com","tony_stark","tony_stark","content manager, authenticated user"
7,"user+test7@example.com","chuck_norris","chuck_norris","content manager, authenticated user"
8,"user+test8@example.com","floodmaster","floodmaster","authenticated user"
9,"user+test9@example.com","johnny_depp","johnny_depp","content editor, authenticated user"
10,"user+test10@example.com","jack_nicholson","jack_nicholson","content editor, authenticated user"
